process_id,name,unit,category,obd_key,modules,conversion_factor,ecoinvent_proxy,pedigree_R,pedigree_C,pedigree_T,pedigree_G,pedigree_F,basic_uncertainty,notes
electricity_DE_lv,"Electricity, low voltage, German grid mix 2023 (used as full-EF proxy profile for CZ)",kWh,energy,electricity_DE_2023,B6,1.0,"market for electricity, low voltage | DE",1,1,1,3,1,1.05,ÖKOBAUDAT generic dataset; declared per kWh.
heat_natural_gas,"Thermal energy from natural gas, industrial boiler (delivered heat)",kWh,energy,heat_natural_gas,B6,1.0,"heat production, natural gas, at industrial furnace >100kW | RER",1,1,1,2,1,1.05,ÖKOBAUDAT generic dataset; per kWh of delivered heat (0.0697 kg CO2e/MJ).
heat_light_fuel_oil,Thermal energy from light fuel oil (delivered heat),kWh,energy,heat_light_fuel_oil,B6,1.0,"heat production, light fuel oil, at industrial furnace 1MW | RER",1,1,1,2,1,1.05,Alternative heat carrier.
transport_truck,"Transport, lorry (generic truck, average load), per t*km",tkm,transport,truck,A4,1.0,"market for transport, freight, lorry 16-32 metric ton, EURO6 | RER",1,1,1,2,1,1.05,"ÖKOBAUDAT generic dataset (Sphera), declared per 1000 kg*km."
transport_truck_trailer,"Transport, articulated lorry (truck-trailer), per t*km",tkm,transport,truck_trailer,A4,1.0,"market for transport, freight, lorry >32 metric ton, EURO6 | RER",1,1,1,2,1,1.05,Bulk transport of WCF / demolition fines.
transport_small_truck,"Transport, small truck, per t*km",tkm,transport,small_truck,A4,1.0,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO6 | RER",1,1,1,2,1,1.05,Laboratory / small deliveries.
landfill_inert,"Inert waste landfill (construction rubble), module C4",kg,waste,landfill_inert,C4,1.0,"treatment of inert waste, sanitary landfill | inert waste | Europe without Switzerland",1,1,1,2,1,1.05,Status-quo fate of WCF; end-of-life of blocks.
landfill_construction_rubble,"Construction rubble landfill, module C4",kg,waste,landfill_construction_rubble,C4,1.0,"treatment of waste concrete, inert material landfill | RoW",1,1,1,2,1,1.05,Identical values to landfill_inert in OBD_2024_II.
rubble_processing,"Construction rubble processing (crushing, sorting), module C3",kg,waste,rubble_processing,C3,1.0,"treatment of waste concrete gravel, recycling | Europe without Switzerland",1,1,1,2,1,1.05,Recycling route at end of life.
cement_CEM_I,"Portland cement CEM I (German industry average 2022, VDZ)",kg,material,cem1_avg,A1-A3,1.0,"market for cement, Portland | cement, Portland | Europe without Switzerland",1,1,1,2,1,1.05,Declared per 1000 kg; oekobaudat_indicators.csv already normalises to 1 kg. Benchmark binder (WCF-OPC blocks).
cement_average_D,Average cement Germany 2022 (VDZ),kg,material,cement_avg_D,A1-A3,1.0,"market for cement, unspecified | Europe without Switzerland",1,1,1,2,1,1.05,Declared per 1000 kg; oekobaudat_indicators.csv already normalises to 1 kg. Alternative binder benchmark.
aac_block_avg,"Autoclaved aerated concrete blocks, German industry average (per kg, 428 kg/m3)",kg,benchmark,aac_avg,A1-A3,0.0023364486,market for autoclaved aerated concrete block | RoW,1,1,1,2,1,1.05,Declared per m3 (428 kg); converted to per kg (1/428). B1 carbonation credit stored separately (module B1).
aac_block_ytong,"AAC blocks Ytong 2.5/0.40 (Xella, per kg, 383 kg/m3)",kg,benchmark,ytong_2.5_0.40,A1-A3,0.0026109661,market for autoclaved aerated concrete block | RoW,1,1,1,3,1,1.05,Declared per m3 (383 kg).
brick_clay_avg,"Clay masonry brick (unfilled, vertically perforated), German industry average (per kg; gross density 575 kg/m3)",kg,benchmark,brick_unfilled_avg,A1-A3,0.00173913,market for clay brick | RoW,1,1,1,2,1,1.05,Declared per m3; gross density 575 kg/m3 from the dataset's material properties.
adobe_block,"Adobe (unfired earth block) 1200 kg/m3, per kg",kg,benchmark,adobe_1200,A1-A3,0.000833333,n/a,1,1,1,2,1,1.05,Low-strength benchmark similar in strength class to biocemented blocks.
concrete_masonry_block,"Concrete masonry block 2000 kg/m3, per kg",kg,benchmark,concrete_masonry_brick_2000,A1-A3,0.0005,market for concrete block | RoW,1,1,1,2,1,1.05,Declared per m3 (2000 kg).
sand_lime_brick,"Sand-lime brick, industry average, per kg",kg,benchmark,sand_lime_brick_avg,A1-A3,1.0,market for sand-lime brick | RoW,1,1,1,2,1,1.05,Declared per 1000 kg; oekobaudat_indicators.csv already normalises to 1 kg.
lwc_block_pumice,"Lightweight concrete block from natural pumice, per kg (500 kg/m3)",kg,benchmark,lwc_block_pumice,A1-A3,0.002,n/a,1,1,1,2,1,1.05,Declared per m3 (500 kg).
sand_0_2,"Sand 0/2 (natural, undried)",kg,material,sand_0_2,A1-A3,1.0,market for sand | sand | RoW,1,1,1,2,1,1.05,Virgin fine aggregate reference for avoided-burden sensitivity.
lime_CaO,Quicklime CaO (fine lime),kg,material,lime_CaO,A1-A3,1.0,"market for quicklime, milled, loose | RER",1,1,1,2,1,1.05,Reference binder; also used to derive hydrated lime.
gypsum_stone_ground,"Gypsum stone CaSO4.2H2O, ground (virgin)",kg,material,gypsum_dihydrate_ground,A1-A3,1.0,"market for gypsum, mineral | RER",1,1,1,2,1,1.05,Virgin gypsum reference (sensitivity to secondary gypsum).
