process_id,name,unit,category,geography,reference_year,data_type,source_id,gwp_fossil,gwp_min,gwp_max,adp_fossil_MJ,ecoinvent_proxy,profile_proxy,pedigree_R,pedigree_C,pedigree_T,pedigree_G,pedigree_F,basic_uncertainty,notes
electricity_CZ_lv,"Electricity, low voltage, Czech grid mix (life-cycle incl. upstream and grid losses)",kWh,energy,CZ,2023,estimate,EMBER2024,0.55,0.45,0.75,,"market for electricity, low voltage | electricity, low voltage | CZ",electricity_DE_lv,2,2,1,1,2,1.05,Direct generation intensity 0.45 kg CO2/kWh (Ember 2023) scaled by 1.22 for upstream fuel chains and T&D losses (ratio observed for DE between Ember direct 0.371 and ÖKOBAUDAT life-cycle 0.486). Other EF categories are filled from the ÖKOBAUDAT DE-2023 dataset scaled by the GWP ratio (approximation).
urea_EU,"Urea (46-0-0), EU average production, excluding CO2 captured in product",kg,chemical,EU,2014,literature,FERTEUROPE2018,0.878,0.751,1.274,26.0,market for urea | urea | RER,heat_natural_gas,2,2,3,2,1,1.05,Fertilizers Europe regional reference values (DNV GL validated). 0.733 kg CO2/kg is captured in the product and released on hydrolysis (modelled explicitly). ADP-fossil ≈ 26 MJ/kg (0.58 kg NH3/kg × ~35 MJ + process energy; cf. 30.54 MJ/kg for urea in ecoinvent v2.2 cited by Porter et al. 2021).
calcium_chloride_industrial,"Calcium chloride, industrial/technical grade (Solvay process by-product)",kg,chemical,RER,2010,literature,PORTER2021,0.854,0.30,2.79,10.96,market for calcium chloride | calcium chloride | RER,lime_CaO,3,3,4,2,2,1.05,ecoinvent v2.2 value reported by Porter et al. (2021); Deng et al. (2021) report 2.79 t CO2/t for HCl+limestone route in China (upper bound); allyl-chloride hypochlorination by-product route is lower (~0.3).
calcium_lactate_pentahydrate,"Calcium lactate pentahydrate (lactic acid neutralised with limestone, crystallised and dried)",kg,chemical,RER,2020,estimate,CORBION2020,1.00,0.60,3.00,20.0,lactic acid production | lactic acid | RER (0.584 kg) + limestone (0.325 kg) + drying,agb_sugar_white,3,3,2,2,3,1.05,"Stoichiometric estimate: 0.584 kg lactic acid (1.3 kg CO2e/kg fossil-only, Corbion sugarcane LCA −0.224 incl. biogenic uptake) + 0.325 kg CaCO3 (0.03) + 0.143 kg geogenic CO2 released on neutralisation + ~1 MJ/kg crystallisation/drying (0.07). Biogenic C content 0.234 kg C/kg handled by the chemistry module."
lactic_acid,"Lactic acid (88 %), fermentation of sugar, fossil-only footprint",kg,chemical,GLO,2019,literature,CORBION2020,1.30,0.80,4.60,15.0,lactic acid production | lactic acid | RER,agb_sugar_white,2,2,2,3,2,1.05,Corbion/TotalEnergies Corbion: −0.224 kg CO2e/kg incl. biogenic uptake (1.47 kg CO2/kg) → ≈1.25 fossil-only; bagasse-based process up to 4.6 (literature).
sodium_chloride,"Sodium chloride, powder (vacuum salt)",kg,chemical,RER,2020,estimate,PORTER2021,0.20,0.10,0.40,3.0,"market for sodium chloride, powder | sodium chloride, powder | RER",lime_CaO,3,3,3,2,2,1.05,Typical ecoinvent-based literature range 0.1–0.4 kg CO2e/kg.
sodium_bicarbonate,Sodium bicarbonate (from Solvay soda ash),kg,chemical,RER,2020,estimate,PORTER2021,0.60,0.30,1.20,9.0,market for sodium bicarbonate | sodium bicarbonate | RER,lime_CaO,3,3,3,2,2,1.05,Estimate from soda ash (Solvay) plus carbonation/drying step.
sodium_carbonate,"Sodium carbonate, soda ash (Solvay process, Europe)",kg,chemical,RER,2020,estimate,PORTER2021,1.00,0.70,1.50,12.0,"market for soda ash, dense | soda ash, dense | RER",lime_CaO,3,3,3,2,2,1.05,Solvay process typical 0.9–1.4 kg CO2e/kg (industry EPDs / ecoinvent-based literature).
potassium_hydroxide,"Potassium hydroxide (chlor-alkali, 100 % KOH basis)",kg,chemical,RER,2020,estimate,PORTER2021,2.00,1.50,2.60,30.0,market for potassium hydroxide | potassium hydroxide | GLO,electricity_DE_lv,3,3,3,2,2,1.05,Electrolysis of KCl; electricity-dominated (ecoinvent-based literature ≈1.9–2.3).
hydrochloric_acid,Hydrochloric acid (100 % HCl basis; from H2 + Cl2 or by-product),kg,chemical,RER,2020,estimate,PORTER2021,1.00,0.50,1.50,15.0,"market for hydrochloric acid, without water, in 30% solution state | RER",heat_natural_gas,3,3,3,2,2,1.05,Per kg HCl (100 %). Lab 1–2 M solutions converted by the model.
